event_date_kst,user_pseudo_id,event_timestamp_kst,user_first_touch_timestamp_kst,event_name,key,string_value,int_value,geo_continent,geo_country,traffic_source_medium,traffic_source
2021-08-05,93b652814b54bc68233f5f3ab7f021a778b575d6,2021-08-05 22:07:52,2021-08-05 22:07:52,session_start,ga_session_id,,1628168871.0,Asia,South Korea,(none),(direct)
2021-08-05,93b652814b54bc68233f5f3ab7f021a778b575d6,2021-08-05 22:07:52,2021-08-05 22:07:52,session_start,page_title,Datarian,,Asia,South Korea,(none),(direct)
2021-08-05,93b652814b54bc68233f5f3ab7f021a778b575d6,2021-08-05 22:07:52,2021-08-05 22:07:52,session_start,ga_session_number,,1.0,Asia,South Korea,(none),(direct)
2021-08-05,93b652814b54bc68233f5f3ab7f021a778b575d6,2021-08-05 22:07:52,2021-08-05 22:07:52,page_view,ga_session_id,,1628168871.0,Asia,South Korea,(none),(direct)
2021-08-05,93b652814b54bc68233f5f3ab7f021a778b575d6,2021-08-05 22:07:52,2021-08-05 22:07:52,page_view,ga_session_number,,1.0,Asia,South Korea,(none),(direct)
2021-08-05,93b652814b54bc68233f5f3ab7f021a778b575d6,2021-08-05 22:07:52,2021-08-05 22:07:52,page_view,session_engaged,0,,Asia,South Korea,(none),(direct)
2021-08-05,93b652814b54bc68233f5f3ab7f021a778b575d6,2021-08-05 22:07:52,2021-08-05 22:07:52,page_view,page_location,https://datarian-kr.github.io/,,Asia,South Korea,(none),(direct)
2021-08-05,93b652814b54bc68233f5f3ab7f021a778b575d6,2021-08-05 22:07:52,2021-08-05 22:07:52,page_view,page_title,Datarian,,Asia,South Korea,(none),(direct)
2021-08-05,93b652814b54bc68233f5f3ab7f021a778b575d6,2021-08-05 22:07:52,2021-08-05 22:07:52,page_view,entrances,,1.0,Asia,South Korea,(none),(direct)
2021-08-05,93b652814b54bc68233f5f3ab7f021a778b575d6,2021-08-05 22:07:59,2021-08-05 22:07:52,scroll,page_title,Datarian,,Asia,South Korea,(none),(direct)
2021-08-05,93b652814b54bc68233f5f3ab7f021a778b575d6,2021-08-05 22:07:59,2021-08-05 22:07:52,scroll,ga_session_number,,1.0,Asia,South Korea,(none),(direct)
2021-08-05,93b652814b54bc68233f5f3ab7f021a778b575d6,2021-08-05 22:07:59,2021-08-05 22:07:52,scroll,percent_scrolled,,90.0,Asia,South Korea,(none),(direct)
2021-08-05,93b652814b54bc68233f5f3ab7f021a778b575d6,2021-08-05 22:07:59,2021-08-05 22:07:52,scroll,ga_session_id,,1628168871.0,Asia,South Korea,(none),(direct)
2021-08-05,93b652814b54bc68233f5f3ab7f021a778b575d6,2021-08-05 22:07:59,2021-08-05 22:07:52,scroll,engagement_time_msec,,2684.0,Asia,South Korea,(none),(direct)
2021-08-05,93b652814b54bc68233f5f3ab7f021a778b575d6,2021-08-05 22:07:59,2021-08-05 22:07:52,scroll,session_engaged,0,,Asia,South Korea,(none),(direct)
2021-08-05,93b652814b54bc68233f5f3ab7f021a778b575d6,2021-08-05 22:07:59,2021-08-05 22:07:52,scroll,page_location,https://datarian-kr.github.io/,,Asia,South Korea,(none),(direct)
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:08,2021-03-05 18:53:46,session_start,ga_session_id,,1628163256.0,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:08,2021-03-05 18:53:46,session_start,ignore_referrer,true,,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:08,2021-03-05 18:53:46,session_start,session_engaged,,1.0,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:08,2021-03-05 18:53:46,session_start,ga_session_number,,3.0,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:08,2021-03-05 18:53:46,session_start,page_location,https://datarian-kr.github.io/blog/,,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:08,2021-03-05 18:53:46,session_start,engaged_session_event,,1.0,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:08,2021-03-05 18:53:46,session_start,page_title,Blog,,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:08,2021-03-05 18:53:46,session_start,page_referrer,https://datarian-kr.github.io/,,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:08,2021-03-05 18:53:46,page_view,page_location,https://datarian-kr.github.io/blog/,,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:08,2021-03-05 18:53:46,page_view,page_referrer,https://datarian-kr.github.io/,,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:08,2021-03-05 18:53:46,page_view,session_engaged,0,,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:08,2021-03-05 18:53:46,page_view,engaged_session_event,,1.0,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:08,2021-03-05 18:53:46,page_view,page_title,Blog,,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:08,2021-03-05 18:53:46,page_view,ga_session_id,,1628163256.0,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:08,2021-03-05 18:53:46,page_view,ignore_referrer,true,,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:08,2021-03-05 18:53:46,page_view,entrances,,1.0,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:08,2021-03-05 18:53:46,page_view,ga_session_number,,3.0,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:21,2021-03-05 18:53:46,user_engagement,engagement_time_msec,,3883.0,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:21,2021-03-05 18:53:46,user_engagement,ignore_referrer,true,,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:21,2021-03-05 18:53:46,user_engagement,ga_session_number,,3.0,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:21,2021-03-05 18:53:46,user_engagement,page_referrer,https://datarian-kr.github.io/,,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:21,2021-03-05 18:53:46,user_engagement,page_location,https://datarian-kr.github.io/blog/,,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:21,2021-03-05 18:53:46,user_engagement,ga_session_id,,1628163256.0,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:21,2021-03-05 18:53:46,user_engagement,session_engaged,0,,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:21,2021-03-05 18:53:46,user_engagement,page_title,Blog,,Asia,South Korea,organic,google
2021-08-05,444cfb6b7fe9a8a208098b301595409a2c5b0281,2021-08-05 20:34:21,2021-03-05 18:53:46,user_engagement,engaged_session_event,,1.0,Asia,South Korea,organic,google
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,first_visit,page_location,https://datarian-kr.github.io/blog/product-study/kakaotalk-gift?utm_source=publy&utm_medium=careerly&utm_campaign=kakaotalk_gift,,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,first_visit,session_engaged,,1.0,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,first_visit,engaged_session_event,,1.0,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,first_visit,ga_session_id,,1628162465.0,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,first_visit,ga_session_number,,1.0,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,first_visit,page_referrer,https://www.google.com/,,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,first_visit,page_title,내가 만약 카톡 선물하기의 분석가라면,,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,session_start,page_location,https://datarian-kr.github.io/blog/product-study/kakaotalk-gift?utm_source=publy&utm_medium=careerly&utm_campaign=kakaotalk_gift,,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,session_start,page_title,내가 만약 카톡 선물하기의 분석가라면,,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,session_start,ga_session_id,,1628162465.0,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,session_start,ga_session_number,,1.0,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,session_start,page_referrer,https://www.google.com/,,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,session_start,engaged_session_event,,1.0,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,page_view,ga_session_id,,1628162465.0,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,page_view,engaged_session_event,,1.0,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,page_view,medium,careerly,,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,page_view,term,(not provided),,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,page_view,source,publy,,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,page_view,entrances,,1.0,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,page_view,page_title,내가 만약 카톡 선물하기의 분석가라면,,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,page_view,campaign,kakaotalk_gift,,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,page_view,page_location,https://datarian-kr.github.io/blog/product-study/kakaotalk-gift?utm_source=publy&utm_medium=careerly&utm_campaign=kakaotalk_gift,,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,page_view,session_engaged,0,,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,page_view,page_referrer,https://www.google.com/,,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:04,2021-08-05 20:21:04,page_view,ga_session_number,,1.0,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:16,2021-08-05 20:21:04,user_engagement,page_referrer,https://www.google.com/,,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:16,2021-08-05 20:21:04,user_engagement,ga_session_id,,1628162465.0,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:16,2021-08-05 20:21:04,user_engagement,page_location,https://datarian-kr.github.io/blog/product-study/kakaotalk-gift?utm_source=publy&utm_medium=careerly&utm_campaign=kakaotalk_gift,,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:16,2021-08-05 20:21:04,user_engagement,ga_session_number,,1.0,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:16,2021-08-05 20:21:04,user_engagement,campaign,kakaotalk_gift,,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:16,2021-08-05 20:21:04,user_engagement,page_title,내가 만약 카톡 선물하기의 분석가라면,,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:16,2021-08-05 20:21:04,user_engagement,source,publy,,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:16,2021-08-05 20:21:04,user_engagement,session_engaged,1,,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:16,2021-08-05 20:21:04,user_engagement,term,(not provided),,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:16,2021-08-05 20:21:04,user_engagement,medium,careerly,,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:16,2021-08-05 20:21:04,user_engagement,engagement_time_msec,,11586.0,Asia,South Korea,careerly,publy
2021-08-05,f89d202a38862323a9d86cc191e8f9ca5ad10c3c,2021-08-05 20:21:16,2021-08-05 20:21:04,user_engagement,engaged_session_event,,1.0,Asia,South Korea,careerly,publy
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,first_visit,page_referrer,https://www.google.com/,,Asia,South Korea,organic,google
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,first_visit,page_title,Datarian,,Asia,South Korea,organic,google
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,first_visit,ga_session_id,,1628134887.0,Asia,South Korea,organic,google
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,first_visit,ga_session_number,,1.0,Asia,South Korea,organic,google
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,first_visit,engaged_session_event,,1.0,Asia,South Korea,organic,google
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,first_visit,page_location,https://datarian-kr.github.io/,,Asia,South Korea,organic,google
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,first_visit,session_engaged,,1.0,Asia,South Korea,organic,google
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,session_start,ga_session_id,,1628134887.0,Asia,South Korea,organic,google
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,session_start,page_title,Datarian,,Asia,South Korea,organic,google
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,session_start,ga_session_number,,1.0,Asia,South Korea,organic,google
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,session_start,engaged_session_event,,1.0,Asia,South Korea,organic,google
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,session_start,page_location,https://datarian-kr.github.io/,,Asia,South Korea,organic,google
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,session_start,page_referrer,https://www.google.com/,,Asia,South Korea,organic,google
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,page_view,page_location,https://datarian-kr.github.io/,,Asia,South Korea,organic,google
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,page_view,campaign,(organic),,Asia,South Korea,organic,google
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,page_view,medium,organic,,Asia,South Korea,organic,google
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,page_view,page_title,Datarian,,Asia,South Korea,organic,google
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,page_view,source,google,,Asia,South Korea,organic,google
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,page_view,entrances,,1.0,Asia,South Korea,organic,google
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,page_view,term,(not provided),,Asia,South Korea,organic,google
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,page_view,engaged_session_event,,1.0,Asia,South Korea,organic,google
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,page_view,page_referrer,https://www.google.com/,,Asia,South Korea,organic,google
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,page_view,ga_session_id,,1628134887.0,Asia,South Korea,organic,google
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,page_view,session_engaged,0,,Asia,South Korea,organic,google
2021-08-05,f40d374bc5b6ba24c91cd8d0c90248a75797ee65,2021-08-05 12:41:29,2021-08-05 12:41:29,page_view,ga_session_number,,1.0,Asia,South Korea,organic,google
